127.0.0.1 - - [12/Sep/2014:15:03:00 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:02 +0530] "GET /APD/index.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:02 +0530] "GET /APD/global/model.js HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:02 +0530] "GET /APD/global/config.js HTTP/1.1" 200 3485
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:02 +0530] "GET /APD/css/style.css HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:02 +0530] "GET /APD/config.js HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:03 +0530] "GET /APD/resources/sap-ui-core.js HTTP/1.1" 200 403242
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:05 +0530] "GET /APD/resources/sap/ui/thirdparty/jquery-mobile-custom.js HTTP/1.1" 200 19141
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:11 +0530] "GET /APD/resources/sap/ui/core/library-preload.json HTTP/1.1" 200 650271
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:17 +0530] "GET /APD/resources/sap/m/library-preload.json HTTP/1.1" 200 861687
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:18 +0530] "GET /APD/resources/sap/makit/library-preload.json HTTP/1.1" 200 55481
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:19 +0530] "GET /APD/resources/sap/m/themes/sap_bluecrystal/library.css HTTP/1.1" 200 227084
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:19 +0530] "GET /APD/resources/sap/ui/core/themes/sap_bluecrystal/library.css HTTP/1.1" 200 18656
0:0:0:0:0:0:0:1 - - [12/Sep/2014:15:03:19 +0530] "GET /APD/resources/sap/makit/themes/sap_bluecrystal/library.css HTTP/1.1" 200 10001
